ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,manager,net_asset,ann_date,2017,2018,2019,2020,2021,2022,all
009487.OF,光大保德信瑞和C,光大保德信基金,20200629,混合型,混合型,沪深300指数收益率*70%+中证全债指数收益率*30%,0.6,0.15,马鹏飞,0.33,20211231,,,,0.12769999999999992,-0.014542874878070383,-0.08845496265634847,0.0129999999999999
009486.OF,光大保德信瑞和A,光大保德信基金,20200629,混合型,混合型,沪深300指数收益率*70%+中证全债指数收益率*30%,0.6,0.15,马鹏飞,0.26,20211231,,,,0.12860000000000005,-0.009037745879851131,-0.08726752503576549,0.02079999999999993
009645.OF,东方阿尔法优势产业C,东方阿尔法基金,20200628,混合型,混合型,中证800指数收益率*70%+中证综合债券指数收益率*30%,1.5,0.25,唐雷,48.21,20211231,,,,0.30899999999999994,0.5815126050420167,-0.08656168486136596,0.891
009644.OF,东方阿尔法优势产业A,东方阿尔法基金,20200628,混合型,混合型,中证800指数收益率*70%+中证综合债券指数收益率*30%,1.5,0.25,唐雷,48.69,20211231,,,,0.3123,0.5893469481063782,-0.08625401543846198,0.9057999999999999
008622.OF,鹏华股息龙头ETF联接A,鹏华基金,20200624,股票型,被动指数型,中证高股息龙头指数收益率*95%+活期存款利率(税后)*5%,0.2,0.1,罗捷 罗英宇,0.04,20220106,,,,0.14004408000000002,0.014547516443399184,0.018063313289710517,0.17752144000000003
009092.OF,富国新材料新能源A,富国基金,20200624,混合型,混合型,中证全指一级行业能源指数收益率*40%+中证全指一级行业材料指数收益率*40%+中债综合指数收益率*20%,1.5,0.25,徐斌,13.8,20211231,,,,0.23619999999999997,0.3099822035269374,-0.09620847227368158,0.4636
009488.OF,中邮价值精选A,中邮基金,20200624,混合型,混合型,中证800指数收益率*55%+上证国债指数收益率*40%+恒生指数收益率*5%,1.5,0.25,任慧峰 国晓雯,0.86,20211231,,,,0.18019999999999992,0.18412133536688702,-0.06182468694096604,0.31109999999999993
009592.OF,博时研究精选一年持有C,博时基金,20200624,混合型,灵活配置型,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合财富(总值)指数收益率*20%,1.5,0.25,王俊 蒋娜,1.04,20211231,,,,0.0706,0.08182327666728928,-0.11294099464686565,0.02739174000000011
009489.OF,中邮价值精选C,中邮基金,20200624,混合型,混合型,中证800指数收益率*55%+上证国债指数收益率*40%+恒生指数收益率*5%,1.5,0.25,任慧峰 国晓雯,0.45,20211231,,,,0.17870000000000008,0.18113175532366166,-0.06198822008332139,0.30590000000000006
009141.OF,泰达价值长青A,泰达宏利基金,20200624,混合型,混合型,沪深300指数收益率*50%+中债综合指数收益率*30%+恒生指数收益率*20%,1.5,0.25,吴华,2.78,20211231,,,,0.3095000000000001,-0.16632302405498298,-0.14317120087936236,-0.06459999999999999
009142.OF,泰达价值长青C,泰达宏利基金,20200624,混合型,混合型,沪深300指数收益率*50%+中债综合指数收益率*30%+恒生指数收益率*20%,1.5,0.25,吴华,0.13,20211231,,,,0.3075000000000001,-0.16879541108986623,-0.1433566433566433,-0.06899999999999995
009591.OF,博时研究精选一年持有A,博时基金,20200624,混合型,灵活配置型,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合财富(总值)指数收益率*20%,1.5,0.25,王俊 蒋娜,7.51,20211231,,,,0.07499999999999996,0.09060465116279084,-0.11250150119413173,0.04050324000000005
009174.OF,东方红颐和稳健养老目标两年,东证资管,20200624,混合型,混合型,中国债券总指数收益率*75%+沪深300指数收益率*18%+银行活期存款利率(税后)*5%+恒生指数收益率*2%,0.5,0.15,陈文扬,2.37,20211231,,,,0.04259999999999997,0.03395357759447545,-0.0002782931354359619,0.0777000000000001
009232.OF,鹏华安惠A,鹏华基金,20200624,混合型,混合型,中证全债指数收益率*80%+沪深300指数收益率*20%,0.8,0.2,刘太阳 王石千,3.74,20211231,,,,0.08187367000000001,0.04093578689275251,-0.01766882323808376,0.10626307999999995
009426.OF,鹏扬景惠六个月持有A,鹏扬基金,20200624,混合型,混合型,中债综合财富(总值)指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率*5%,0.8,0.2,张望 李刚 李沁,4.66,20211231,,,,0.11060000000000003,0.011975508734017528,-0.01966367114511968,0.10179999999999989
009233.OF,鹏华安惠C,鹏华基金,20200624,混合型,混合型,中证全债指数收益率*80%+沪深300指数收益率*20%,0.8,0.2,刘太阳 王石千,0.52,20211231,,,,0.07967192999999995,0.03680649546941552,-0.017898119928029747,0.09937551999999994
009015.OF,泓德睿享一年持有A,泓德基金,20200624,混合型,混合型,中国债券综合全价指数收益率*85%+中证800指数收益率*10%+中证港股通综合指数收益率*5%,0.8,0.2,赵端端,7.65,20211231,,,,0.14959999999999996,0.07089422407794027,-0.01998212980261569,0.2064999999999999
008553.OF,万家养老2035三年,万家基金,20200624,混合型,混合型,沪深300指数收益率*49%+中债新综合总财富指数收益率*41%+1年期央行定存基准利率*10%,0.8,0.15,徐朝贞,1.05,20211231,,,,0.11349999999999993,0.032061068702290134,-0.04089801601113812,0.10220000000000007
009427.OF,鹏扬景惠六个月持有C,鹏扬基金,20200624,混合型,混合型,中债综合财富(总值)指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率*5%,0.8,0.2,张望 李刚 李沁,0.37,20211231,,,,0.10830000000000006,0.007940088423711918,-0.01996240264971801,0.0948
009016.OF,泓德睿享一年持有C,泓德基金,20200624,混合型,混合型,中国债券综合全价指数收益率*85%+中证800指数收益率*10%+中证港股通综合指数收益率*5%,0.8,0.2,赵端端,0.08,20211231,,,,0.1472,0.06659693165969319,-0.020186335403726663,0.19890000000000008
008623.OF,鹏华股息龙头ETF联接C,鹏华基金,20200624,股票型,被动指数型,中证高股息龙头指数收益率*95%+活期存款利率(税后)*5%,0.2,0.1,罗捷 罗英宇,0.04,20220106,,,,0.1399403400000001,0.0146433628272159,0.018063319831210126,0.17752553000000004
009185.OF,农银汇理永乐3个月,农银汇理基金,20200624,混合型,混合型,中证全债指数收益率*75%+沪深300指数收益率*25%,1.2,0.25,叶忻,0.47,20211231,,,,0.05180000000000007,0.021962350256702696,-0.02800260489347848,0.04479999999999995
009667.OF,鹏华安庆A,鹏华基金,20200623,混合型,混合型,中债总指数收益率*80%+沪深300指数收益率*20%,0.6,0.1,张栓伟 汤志彦,9.81,20211231,,,,0.04899999999999993,0.1530981887511917,-0.019593253968254013,0.18589999999999995
009576.OF,东方红智远三年持有期,东证资管,20200623,混合型,混合型,沪深300指数收益率*60%+恒生指数收益率(经汇率估值调整)*20%+银行活期存款利率(税后)*20%,1.5,0.25,孙伟,81.14,20211231,,,,0.4126000000000001,-0.049554013875123926,-0.09489051094890508,0.21520000000000006
009668.OF,鹏华安庆C,鹏华基金,20200623,混合型,混合型,中债总指数收益率*80%+沪深300指数收益率*20%,0.6,0.1,张栓伟 汤志彦,3.29,20211231,,,,0.0475000000000001,0.1494988066825774,-0.019765800182709115,0.1802999999999999
009184.OF,东方红颐和积极养老目标五年,东证资管,20200623,混合型,混合型,沪深300指数收益率*60%+中国债券总指数收益率*20%+恒生指数收益率*15%+银行活期存款利率(税后)*5%,0.8,0.15,陈文扬,2.85,20211231,,,,0.16159999999999997,0.07093663911845732,-0.023231511254019233,0.21510000000000007
009623.OF,长城创新驱动,长城基金,20200623,混合型,混合型,中证创新驱动主题指数收益率*70%+中债综合财富指数收益率*20%+中证港股通综合指数收益率(使用估值汇率折算)*10%,1.5,0.25,谭小兵,6.74,20211231,,,,0.07620000000000005,-0.05779594870841854,-0.16262327416173575,-0.15090000000000003
860001.OF,光大阳光A,光证资管,20200623,混合型,混合型,中证800指数收益率*60%+中债综合指数收益率*20%+中证港股通综合指数(人民币)收益率*20%,1.5,0.2,,11.86,20211231,0.02872873281261176,-0.2732394365717894,0.4262458474607544,0.514830343548291,0.05984264097050554,-0.10920346302310793,0.5249410095968421
860037.OF,光大阳光C,光证资管,20200623,混合型,混合型,中证800指数收益率*60%+中债综合指数收益率*20%+中证港股通综合指数(人民币)收益率*20%,1.5,0.2,,0.0,20211231,,,,0.23978860908598904,0.05148550445522953,-0.10974894988766246,0.1605488523128841
860036.OF,光大阳光B,光证资管,20200623,混合型,混合型,中证800指数收益率*60%+中债综合指数收益率*20%+中证港股通综合指数(人民币)收益率*20%,1.5,0.2,,0.09,20211231,,,,0.24246283149215248,0.05993286698952002,-0.10919595803316728,0.1731240648180574
009401.OF,华安添瑞6个月C,华安基金,20200622,混合型,混合型,中债综合全价指数收益率*85%+中证800指数收益率*15%,0.8,0.2,周益鸣 陆奔,2.08,20211231,,,,0.0535000000000001,0.04420479354532507,-0.00963697074662767,0.08946841000000005
009684.OF,汇添富创新增长一年定开C,汇添富基金,20200622,混合型,混合型,中证800指数收益率*55%+中债综合指数收益率*30%+中国战略新兴产业成份指数收益率*10%+恒生指数收益率(使用估值汇率折算)*5%,1.5,0.25,马翔,2.44,20211231,,,,0.2751999999999999,0.1372333751568382,-0.10467521721141908,0.2984
009157.OF,海富通富泽C,海富通基金,20200622,混合型,混合型,中债-综合全价(总值)指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(经汇率调整)*5%,0.8,0.2,张靖爽 杜晓海,1.83,20211231,,,,0.04360000000000008,0.05318129551552307,-0.018014739332180913,0.07929999999999993
009156.OF,海富通富泽A,海富通基金,20200622,混合型,混合型,中债-综合全价(总值)指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(经汇率调整)*5%,0.8,0.2,张靖爽 杜晓海,4.48,20211231,,,,0.04580000000000006,0.05737234652897287,-0.017724724181587846,0.08620000000000005
009511.OF,信达澳银研究优选,信达澳银基金,20200622,混合型,混合型,中证500指数收益率*90%+银行活期存款利率(税后)*10%,1.5,0.25,冯明远,12.31,20211231,,,,0.038899999999999935,0.49995187217249026,-0.12725405891035096,0.3600000000000001
009400.OF,华安添瑞6个月A,华安基金,20200622,混合型,混合型,中债综合全价指数收益率*85%+中证800指数收益率*15%,0.8,0.2,周益鸣 陆奔,14.69,20211231,,,,0.05620000000000003,0.049539585305813316,-0.009284185721205722,0.09823197000000006
009683.OF,汇添富创新增长一年定开A,汇添富基金,20200622,混合型,混合型,中证800指数收益率*55%+中债综合指数收益率*30%+中国战略新兴产业成份指数收益率*10%+恒生指数收益率(使用估值汇率折算)*5%,1.5,0.25,马翔,20.99,20211231,,,,0.2791999999999999,0.14407442151344602,-0.10427058421592078,0.31089999999999995
009695.OF,招商成长精选一年定开A,招商基金,20200619,混合型,混合型,沪深300指数收益率*65%+中债综合指数(总财富)收益率*20%+中国战略新兴产业成份指数收益率*10%+恒生综合指数收益率(经汇率调整后)*5%,1.5,0.25,万亿 郭锐,4.48,20211231,,,,0.18880000000000008,0.011692462987886964,-0.08306310800698437,0.1028
009696.OF,招商成长精选一年定开C,招商基金,20200619,混合型,混合型,沪深300指数收益率*65%+中债综合指数(总财富)收益率*20%+中国战略新兴产业成份指数收益率*10%+恒生综合指数收益率(经汇率调整后)*5%,1.5,0.25,万亿 郭锐,1.62,20211231,,,,0.18369999999999997,0.003632677198614489,-0.08358585858585854,0.0887
008841.OF,德邦大消费C,德邦基金,20200618,混合型,混合型,中证消费服务领先指数收益率*80%+一年期银行定期存款利率(税后)*20%,1.5,0.25,黎莹,0.39,20211231,,,,0.27760000000000007,0.04610206637445206,-0.04571642349420122,0.2754000000000001
009030.OF,工银高质量成长C,工银瑞信基金,20200618,混合型,混合型,中证700指数收益率*65%+中债综合财富(总值)指数收益率*30%+恒生指数收益率*5%,1.5,0.25,张继圣 李昱 袁芳,2.48,20211231,,,,0.24530000000000007,-0.013169517385368963,-0.07331760110668083,0.13880000000000003
008840.OF,德邦大消费A,德邦基金,20200618,混合型,混合型,中证消费服务领先指数收益率*80%+一年期银行定期存款利率(税后)*20%,1.5,0.25,黎莹,0.78,20211231,,,,0.2793000000000001,0.04869850699601328,-0.04546809779367915,0.28059999999999996
009398.OF,华富成长企业精选,华富基金,20200618,股票型,股票型,中证800指数收益率*85%+中证全债指数收益率*15%,1.5,0.25,陈启明,5.32,20211231,,,,0.038899999999999935,0.33467445374915783,-0.09188103023345792,0.2591916700000001
009029.OF,工银高质量成长A,工银瑞信基金,20200618,混合型,混合型,中证700指数收益率*65%+中债综合财富(总值)指数收益率*30%+恒生指数收益率*5%,1.5,0.25,张继圣 李昱 袁芳,18.32,20211231,,,,0.25059999999999993,-0.00511754357908201,-0.07281787493972032,0.15359999999999996
008444.OF,九泰动态策略C,九泰基金,20200618,混合型,灵活配置型,沪深300指数收益率*50%+中国债券总指数收益率*50%,0.6,0.15,吴祖尧 林柏川,0.44,20211231,,,,0.11080000000000001,0.10352898811667266,-0.05204764235601247,0.16199999999999992
009688.OF,万家鑫动力,万家基金,20200618,混合型,混合型,沪深300指数收益率*65%+中债综合指数收益率*20%+中国战略新兴产业成份指数收益率*10%+恒生指数收益率*5%,1.5,0.25,高源,5.12,20211231,,,,0.12830000000000008,-0.024461579367189637,-0.07740528754428995,0.01550000000000007
009471.OF,东方欣利C,东方基金,20200618,混合型,混合型,中债综合全价指数收益率*80%+沪深300指数收益率*20%,0.8,0.15,许文波,0.33,20211231,,,,0.1201000000000001,-0.021515936077135978,-0.053375912408759114,0.03750000000000009
009470.OF,东方欣利A,东方基金,20200618,混合型,混合型,中债综合全价指数收益率*80%+沪深300指数收益率*20%,0.8,0.15,许文波,0.1,20211231,,,,0.12250000000000005,-0.01763919821826284,-0.05305160061666817,0.04420000000000002
008443.OF,九泰动态策略A,九泰基金,20200618,混合型,灵活配置型,沪深300指数收益率*50%+中国债券总指数收益率*50%,0.6,0.15,吴祖尧 林柏川,0.13,20211231,,,,0.1120000000000001,0.10557553956834527,-0.05181389295591352,0.16569999999999996
009342.OF,易方达优质企业三年持有,易方达基金,20200617,混合型,混合型,沪深300指数收益率*45%+中证港股通综合指数收益率*35%+中债总指数收益率*20%,1.5,0.25,张坤,105.75,20210331,,,,0.3656999999999999,-0.08215567108442547,-0.061747108097327585,0.17609999999999992
008617.OF,国寿安保稳健养老一年,国寿安保基金,20200617,混合型,混合型,中债综合全价(总值)指数收益率*80%+沪深300指数收益率*20%,0.6,0.15,张志雄,0.4,20211231,,,,0.020399999999999974,0.0189141513132106,-0.01211888044628274,0.027099999999999902
009380.OF,富安达科技领航,富安达基金,20200617,混合型,混合型,中证科技100指数收益率*75%+上证国债指数收益率*25%,1.5,0.25,吴战峰 孙绍冰,0.89,20211231,,,,0.13739999999999997,-0.05600492350975898,-0.11977274843997396,-0.05489999999999995
009361.OF,招商创新增长C,招商基金,20200617,混合型,混合型,沪深300指数收益率*60%+中证全债指数收益率*30%+恒生指数收益率(使用估值汇率折算)*10%,1.5,0.25,李佳存,1.24,20211231,,,,0.11139999999999994,-0.041119308979665155,-0.11203903537580938,-0.05369999999999997
009360.OF,招商创新增长A,招商基金,20200617,混合型,混合型,沪深300指数收益率*60%+中证全债指数收益率*30%+恒生指数收益率(使用估值汇率折算)*10%,1.5,0.25,李佳存,8.49,20211231,,,,0.11620000000000008,-0.03341695036731778,-0.11140976920937991,-0.0413
009314.OF,广发双擎升级C,广发基金,20200617,混合型,混合型,沪深300指数收益率*75%+中证全债指数收益率*25%,1.5,0.25,刘格菘,4.3,20211231,,,,0.2853195937873358,0.03991169464939289,-0.13226256983240225,0.15983422939068107
009230.OF,鹏华安和A,鹏华基金,20200617,混合型,混合型,中债总指数收益率*80%+沪深300指数收益率*20%,0.6,0.1,张栓伟 汤志彦,8.82,20211231,,,,0.05030000000000001,0.1585261353898887,-0.018573307034845637,0.19419999999999993
009147.OF,建信新能源,建信基金,20200617,股票型,股票型,中证新能源指数收益率*75%+中证全债指数收益率*15%+恒生能源行业指数*10%,1.5,0.25,田元泉 陶灿,56.41,20211231,,,,0.7285999999999999,0.5871225269003819,-0.10701658465463826,1.4499
009231.OF,鹏华安和C,鹏华基金,20200617,混合型,混合型,中债总指数收益率*80%+沪深300指数收益率*20%,0.6,0.1,张栓伟 汤志彦,6.76,20211231,,,,0.04849999999999999,0.15507868383404871,-0.01874329122285539,0.1883999999999999
009468.OF,博时健康成长主题双周定期可赎回A,博时基金,20200617,混合型,混合型,中证医药卫生指数收益率*60%+恒生医疗保健指数收益率(使用估值汇率折算)*20%+中债综合财富(总值)指数收益率*20%,1.5,0.25,葛晨,6.42,20211231,,,,0.10630000000000006,-0.009310313658139722,-0.16669708029197086,-0.0867
009469.OF,博时健康成长主题双周定期可赎回C,博时基金,20200617,混合型,混合型,中证医药卫生指数收益率*60%+恒生医疗保健指数收益率(使用估值汇率折算)*20%+中债综合财富(总值)指数收益率*20%,1.5,0.25,葛晨,1.31,20211231,,,,0.10149999999999992,-0.017249205628688067,-0.16711316397228643,-0.09840000000000004
008753.OF,大成兴享养老三年,大成基金,20200617,混合型,混合型,中证全债指数收益率*50%+中证全指指数收益率*45%+恒生指数收益率(使用估值汇率调整)*5%,0.9,0.15,尚琼,0.48,20211231,,,,0.1059000000000001,0.051541730717062965,-0.032848912202253,0.12470000000000003
009636.OF,华泰柏瑞景气优选A,华泰柏瑞基金,20200617,混合型,混合型,中证800指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+银行活期存款利率(税后)*20%,1.5,0.25,张慧,12.45,20211231,,,,0.18169999999999997,0.15545400693915543,-0.08678775450417464,0.2468999999999999
008586.OF,华夏中证人工智能主题ETF联接C,华夏基金,20200616,股票型,被动指数型,中证人工智能主题指数收益率*95%+人民币活期存款利率(税后)*5%,0.5,0.1,李俊,0.95,20211231,,,,-0.11250000000000004,0.08495774647887328,-0.09461003219441268,-0.12819999999999998
008585.OF,华夏中证人工智能主题ETF联接A,华夏基金,20200616,股票型,被动指数型,中证人工智能主题指数收益率*95%+人民币活期存款利率(税后)*5%,0.5,0.1,李俊,4.21,20211231,,,,-0.11109999999999998,0.08831139610754866,-0.09448004961753156,-0.124
009381.OF,汇安核心资产A,汇安基金,20200616,混合型,混合型,沪深300指数收益率*80%+中证全债指数收益率*20%,1.5,0.2,朱晨歌 陈欣,5.71,20211231,,,,0.1362000000000001,-0.08123569794050346,-0.11667784270523998,-0.07789999999999997
009345.OF,中银顺兴回报一年持有A,中银基金,20200616,混合型,混合型,中债综合全价(总值)指数收益率*60%+沪深300指数收益率*30%+恒生指数收益率*10%,1.5,0.2,刘腾 李建,9.16,20211231,,,,0.13749999999999996,-0.04861538461538453,-0.057845130290149684,0.019600000000000062
009346.OF,中银顺兴回报一年持有C,中银基金,20200616,混合型,混合型,中债综合全价(总值)指数收益率*60%+沪深300指数收益率*30%+恒生指数收益率*10%,1.5,0.2,刘腾 李建,8.89,20211231,,,,0.13379999999999992,-0.054330569765390614,-0.05819809736989368,0.009800000000000031
009382.OF,汇安核心资产C,汇安基金,20200616,混合型,混合型,沪深300指数收益率*80%+中证全债指数收益率*20%,1.5,0.2,朱晨歌 陈欣,0.1,20211231,,,,0.1331,-0.0858706204218515,-0.1170110059857116,-0.08540000000000003
009394.OF,银华同力精选,银华基金,20200616,混合型,混合型,沪深300指数收益率*80%+中证全债指数收益率*20%,1.5,0.25,刘辉,21.19,20211231,,,,-0.0031999999999999806,-0.049859550561797715,-0.0742265864217084,-0.12319999999999998
009693.OF,富国积极成长一年,富国基金,20200615,混合型,混合型,中证500指数收益率*55%+中国战略新兴产业成份指数收益率*20%+中债综合全价指数收益率*20%+恒生指数收益率(使用估值汇率折算)*5%,1.5,0.25,杨栋,23.88,20211231,,,,0.4151,0.2578616352201258,-0.16185393258426967,0.4919
007389.OF,上投摩根研究驱动C,上投摩根基金,20200612,股票型,股票型,中证500指数收益率*90%+银行活期存款利率(税后)*10%,1.5,0.25,朱晓龙,0.32,20211231,,,,0.3145,0.06298972993533662,-0.10112359550561796,0.256
007388.OF,上投摩根研究驱动A,上投摩根基金,20200612,股票型,股票型,中证500指数收益率*90%+银行活期存款利率(税后)*10%,1.5,0.25,朱晓龙,0.9,20211231,,,,0.32030000000000003,0.07165038248882831,-0.10057247862039727,0.27259999999999995
008237.OF,招商深证100ETF联接C,招商基金,20200612,股票型,被动指数型,深证100指数(价格)收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,0.2,0.1,刘重杰,0.11,20211231,,,,0.31109999999999993,0.0463732743497826,-0.085137400685181,0.2551000000000001
009697.OF,华夏成长精选6个月定开A,华夏基金,20200612,混合型,混合型,中国战略新兴产业成份指数收益率*70%+中债综合指数收益率*20%+经汇率调整的恒生指数收益率*10%,1.5,0.25,林晶 顾鑫峰,10.74,20211231,,,,0.26990000000000003,0.18466020946531217,-0.13739696889125225,0.2977000000000001
009698.OF,华夏成长精选6个月定开C,华夏基金,20200612,混合型,混合型,中国战略新兴产业成份指数收益率*70%+中债综合指数收益率*20%+经汇率调整的恒生指数收益率*10%,1.5,0.25,林晶 顾鑫峰,3.87,20211231,,,,0.26639999999999997,0.17877447883765,-0.1377277599142551,0.2871999999999999
009318.OF,南方成长先锋A,南方基金,20200612,混合型,混合型,中证500成长指数收益率*60%+上证国债指数收益率*30%+中证港股通综合指数(人民币)收益率*10%,1.5,0.25,王博 茅炜,76.91,20211231,,,,0.14870000000000005,-0.03569252198137037,-0.08684661912070041,0.011500000000000066
008236.OF,招商深证100ETF联接A,招商基金,20200612,股票型,被动指数型,深证100指数(价格)收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,0.2,0.1,刘重杰,0.05,20211231,,,,0.2915000000000001,0.049090205187766085,-0.08495091888700272,0.2398
009319.OF,南方成长先锋C,南方基金,20200612,混合型,混合型,中证500成长指数收益率*60%+上证国债指数收益率*30%+中证港股通综合指数(人民币)收益率*10%,1.5,0.25,王博 茅炜,16.01,20211231,,,,0.14490000000000003,-0.04148833959297764,-0.08720612356478942,0.0017000000000000348
009624.OF,安信稳健阿尔法定开C,安信基金,20200612,混合型,混合型,一年期银行定期存款利率(税后),1.0,0.25,徐黄玮,0.47,20211231,,,,0.08484461860931374,0.015204973118279575,-0.013901530823334653,0.08602934475530853
009183.OF,东方红颐和平衡养老目标三年,东证资管,20200611,混合型,混合型,沪深300指数收益率*50%+中国债券总指数收益率*40%+恒生指数收益率*5%+银行活期存款利率(税后)*5%,0.65,0.15,陈文扬,3.21,20211231,,,,0.11749999999999994,0.0627293064876958,-0.01793533176153595,0.1662999999999999
009440.OF,光大保德信裕鑫A,光大保德信基金,20200611,混合型,混合型,中证全债指数收益率*80%+沪深300指数收益率*20%,0.6,0.15,周华 詹佳,6.28,20211231,,,,0.12739999999999996,0.07388681923008707,-0.014619641529693604,0.19300000000000006
009419.OF,宝盈祥明一年定开A,宝盈基金,20200611,混合型,混合型,中证全债指数收益率*70%+沪深300指数收益率*30%,1.0,0.2,邓栋 高宇,8.97,20211231,,,,0.07759999999999989,0.02793244246473647,-0.008937437934458607,0.09780000000000011
009420.OF,宝盈祥明一年定开C,宝盈基金,20200611,混合型,混合型,中证全债指数收益率*70%+沪深300指数收益率*30%,1.0,0.2,邓栋 高宇,0.13,20211231,,,,0.07519999999999993,0.023809523809523874,-0.009265988372093012,0.09060000000000001
009234.OF,鹏华优质企业,鹏华基金,20200611,混合型,混合型,沪深300指数收益率*60%+中证综合债指数收益率*30%+恒生指数收益率*10%(经汇率估值调整),1.5,0.25,袁航,5.1,20211231,,,,0.4489000000000001,-0.04493063703499217,-0.027460615695909678,0.3458000000000001
009590.OF,东方盛世C,东方基金,20200611,混合型,灵活配置型,中债总全价指数收益率*70%+沪深300指数收益率*30%,0.6,0.2,王然,4.1,20211231,,,,0.1464006259780908,0.025527267763292522,-0.01936772046589012,0.15289514866979656
009649.OF,嘉实精选平衡A,嘉实基金,20200611,混合型,混合型,中债总全价指数收益率*50%+中证800指数收益率*50%,0.6,0.2,徐珊 董福焱,0.08,20211231,,,,0.09169999999999989,0.11972153522029866,-0.016770287958115155,0.20189999999999997
009650.OF,嘉实精选平衡C,嘉实基金,20200611,混合型,混合型,中债总全价指数收益率*50%+中证800指数收益率*50%,0.6,0.2,徐珊 董福焱,0.01,20211231,,,,0.08919999999999995,0.11375321336760937,-0.017228587915258543,0.19219999999999993
009441.OF,光大保德信裕鑫C,光大保德信基金,20200611,混合型,混合型,中证全债指数收益率*80%+沪深300指数收益率*20%,0.6,0.15,周华 詹佳,0.62,20211231,,,,0.12369999999999992,0.06523093352318247,-0.015121136173767756,0.17890000000000006
009351.OF,南方誉丰18个月持有A,南方基金,20200610,混合型,混合型,中债信用债总指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数(人民币)收益率*5%,1.0,0.2,陈乐,4.96,20211231,,,,0.07469999999999999,0.04168605192146641,-0.009111210361768636,0.10929999999999995
009352.OF,南方誉丰18个月持有C,南方基金,20200610,混合型,混合型,中债信用债总指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数(人民币)收益率*5%,1.0,0.2,陈乐,0.41,20211231,,,,0.07119999999999993,0.03519417475728162,-0.009468842997565114,0.09840000000000004
009119.OF,广发品质回报A,广发基金,20200609,混合型,混合型,中证内地消费主题指数收益率*60%+中证全债指数收益率*25%+人民币计价的恒生综合指数收益率*15%,1.5,0.25,张东一,8.55,20211231,,,,0.26970000000000005,-0.1919351027801843,-0.09356725146198827,-0.06999999999999995
009120.OF,广发品质回报C,广发基金,20200609,混合型,混合型,中证内地消费主题指数收益率*60%+中证全债指数收益率*25%+人民币计价的恒生综合指数收益率*15%,1.5,0.25,张东一,0.67,20211231,,,,0.2667999999999999,-0.19521629302178709,-0.09377145659637078,-0.07609999999999995
009669.OF,长信量化价值驱动C,长信基金,20200609,混合型,混合型,中证500指数收益率*75%+中债综合指数收益率*25%,1.0,0.15,左金保,0.09,20211231,,,,0.4104399441340782,-0.011325659116227247,-0.0665414710485132,0.3016759776536314
009460.OF,安信禧悦稳健养老目标一年,安信基金,20200609,混合型,混合型,中债综合(全价)指数收益率*70%+中证800指数收益率*20%+恒生指数(人民币计价)收益率*5%+银行活期存款利率(税后)*5%,0.8,0.15,占冠良,0.58,20211231,,,,0.04800000000000004,0.09713740458015256,-0.030266133240563528,0.11499999999999999
009595.OF,山西证券裕盛一年定开,山西证券,20200609,混合型,灵活配置型,沪深300指数收益率*50%+中证全债指数收益率*50%,1.5,0.1,章海默,0.31,20210331,,,,0.05410000000000004,0.060905037472725576,-0.058749888223196,0.05259999999999998
009648.OF,中欧睿达定期开放C,中欧基金,20200605,混合型,混合型,同期中国人民银行公布的三年期银行定期存款收益率(税后)+1.5%,0.7,0.15,蒋雯文,0.0,20211231,,,,0.09585889570552147,0.08747375787263821,-0.023809523809523902,0.16334355828220848
008872.OF,大成睿裕六个月持有C,大成基金,20200605,股票型,股票型,沪深300指数收益率*70%+中证综合债券指数收益率*20%+恒生指数收益率*10%,1.5,0.25,刘旭,0.06,20211231,,,,0.2185999999999999,0.160101756113573,-0.08912782061257685,0.28770000000000007
008856.OF,华夏安泰对冲策略3个月定开,华夏基金,20200605,混合型,灵活配置型,中国人民银行公布的同期一年期定期存款基准利率(税后)+2%,1.2,0.25,孙蒙,6.58,20211231,,,,-0.0040000000000000036,0.06445783132530124,-0.02329749103942647,0.03550000000000009
008871.OF,大成睿裕六个月持有A,大成基金,20200605,股票型,股票型,沪深300指数收益率*70%+中证综合债券指数收益率*20%+恒生指数收益率*10%,1.5,0.25,刘旭,0.66,20211231,,,,0.2228000000000001,0.16707556427870454,-0.08871137271389534,0.3005
009515.OF,中欧真益稳健一年A,中欧基金,20200604,混合型,混合型,中债综合财富(总值)指数收益率*85%+中证800指数收益率*12%+中证港股通综合指数(人民币)收益率*3%,0.7,0.2,黄华,9.4,20211231,,,,0.06570000000000009,0.05292296143379938,-0.011496301577399637,0.10919999999999996
