ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
013477.OF,华宝中证金融科技主题ETF联接A,华宝基金,中国建设银行,股票型,20211125,,,20211116,,0.1504,0.5,0.1,,1.0,0.0001,,中证金融科技主题指数收益率*95%+人民币银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211203,20211203,O
014367.OF,招商添悦纯债D,招商基金,中国光大银行,债券型,20211125,,,,,,0.3,0.1,,1.0,,,中证全债指数收益率,L,债券型,契约型开放式,,20211125,20211126,O
013478.OF,华宝中证金融科技主题ETF联接C,华宝基金,中国建设银行,股票型,20211125,,,20211116,,0.0209,0.5,0.1,,1.0,0.0001,,中证金融科技主题指数收益率*95%+人民币银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211203,20211203,O
013666.OF,银河成长优选一年持有C,银河基金,江苏银行,混合型,20211125,,,20211108,,0.6545,1.5,0.25,,1.0,0.001,,中证800指数收益率*70%+中债新综合指数(全价)收益率*20%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,20211228,,O
013293.OF,长城健康消费,长城基金,中国光大银行,混合型,20211125,,,20211103,,8.6864,1.5,0.25,,1.0,0.0001,,中证健康产业指数收益率*40%+中证消费服务领先指数收益率*40%+中债综合财富指数收益率*20%,L,混合型,契约型开放式,,,,O
013665.OF,银河成长优选一年持有A,银河基金,江苏银行,混合型,20211125,,,20211108,,2.7847,1.5,0.25,,1.0,0.001,,中证800指数收益率*70%+中债新综合指数(全价)收益率*20%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,20211228,,O
014335.OF,信诚周期轮动C,中信保诚基金,中国银行,混合型,20211125,,,,,,1.5,0.25,,1.0,,,沪深300指数收益率*80%+中证综合债指数收益率*20%,L,混合型,契约型开放式,,20211125,20211125,O
014282.OF,中信保诚成长动力C,中信保诚基金,招商银行,混合型,20211125,,,,,,1.5,0.25,,1.0,,,沪深300指数收益率*60%+恒生指数收益率*20%+中债综合财富(总值)指数收益率*20%,L,混合型,契约型开放式,,20211125,20211126,O
013794.OF,富国智浦精选12个月持有C,富国基金,浦发银行,混合型,20211125,,,20211115,,0.2896,1.0,0.2,,1.0,0.001,,沪深300指数收益率*80%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,,,O
014164.OF,富国融享18个月C,富国基金,招商银行,混合型,20211124,,,,,,1.5,0.25,,1.0,,,中证800指数收益率*50%+中债综合全价指数收益率*35%+恒生指数收益率(使用估值汇率折算)*15%,L,混合型,契约型开放式,,20211125,20211125,O
014061.OF,浦银安盛战略新兴产业C,浦银安盛基金,交通银行,混合型,20211124,,,,,,1.5,0.25,,1.0,,,中证新兴产业指数*55%+中证全债指数*45%,L,混合型,契约型开放式,,20211124,20211124,O
013933.OF,工银瑞信睿智进取一年封闭运作C,工银瑞信基金,中国农业银行,股票型,20211124,,,20211101,,0.0907,0.5,0.1,,1.0,0.0001,,中证800指数收益率*90%+中债-新综合财富(总值)指数收益率*10%,L,股票型,契约型开放式,,,,O
013239.OF,财通均衡优选一年持有C,财通基金,中国工商银行,混合型,20211124,,,20211028,,0.0415,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*55%+中债综合指数收益率*25%+恒生指数收益率*20%,L,混合型,契约型开放式,,,,O
013238.OF,财通均衡优选一年持有A,财通基金,中国工商银行,混合型,20211124,,,20211028,,2.1466,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*55%+中债综合指数收益率*25%+恒生指数收益率*20%,L,混合型,契约型开放式,,,,O
506007.OF,广发科创板两年定开,广发基金,中国工商银行,混合型,20211124,,,20211115,,6.2303,1.5,0.25,,1.0,0.0001,,上证科创板50成份指数收益率*80%+中债综合财富(总值)指数收益率*20%,L,混合型,契约型开放式,,,,O
013248.OF,交银施罗德鸿泰一年持有期A,交银施罗德基金,中国建设银行,混合型,20211124,,,20210907,,2.2922,0.8,0.2,,1.0,0.0001,,中证综合债券指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,,,O
013190.OF,中融景惠A,中融基金,中国邮政储蓄银行,混合型,20211124,,,20211109,,6.5313,0.8,0.2,,1.0,0.0001,,中债综合指数(全价)收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,,,O
013249.OF,交银施罗德鸿泰一年持有期C,交银施罗德基金,中国建设银行,混合型,20211124,,,20210907,,0.247,0.8,0.2,,1.0,0.0001,,中证综合债券指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,,,O
013839.OF,中银恒嘉60天滚动持有C,中银基金,兴业银行,债券型,20211124,,,20211108,,1.8638,0.2,0.05,,1.0,0.001,,中债综合财富(1年以下)指数收益率*90%+银行一年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
013191.OF,中融景惠C,中融基金,中国邮政储蓄银行,混合型,20211124,,,20211109,,0.0181,0.8,0.2,,1.0,0.0001,,中债综合指数(全价)收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,,,O
013865.OF,平安元泓30天滚动持有C,平安基金,交通银行,债券型,20211124,,,20211108,,1.5454,0.2,0.05,,1.0,0.0001,,中债综合财富(1年以下)指数收益率*90%+一年期定期存款基准利率(税后)*10%,L,债券型,契约型开放式,,20211224,20211224,O
013838.OF,中银恒嘉60天滚动持有A,中银基金,兴业银行,债券型,20211124,,,20211108,,0.8015,0.2,0.05,,1.0,0.001,,中债综合财富(1年以下)指数收益率*90%+银行一年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
013821.OF,南方定利一年定开,南方基金,中国邮政储蓄银行,债券型,20211124,,,20211026,,64.3062,0.3,0.1,,1.0,0.0001,,中债-固定利率债券全价(1-3年)指数收益率,L,债券型,契约型开放式,,,,O
013864.OF,平安元泓30天滚动持有A,平安基金,交通银行,债券型,20211124,,,20211108,,2.0582,0.2,0.05,,1.0,0.0001,,中债综合财富(1年以下)指数收益率*90%+一年期定期存款基准利率(税后)*10%,L,债券型,契约型开放式,,20211224,20211224,O
014275.OF,易方达北交所精选两年定开A,易方达基金,中国工商银行,混合型,20211123,,,20211119,,3.9337,1.5,0.25,,1.0,0.0001,,中证1000指数收益率*65%+中债总指数收益率*25%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,,,O
013328.OF,嘉实全球价值机会人民币,嘉实基金,中国农业银行,股票型,20211123,,,20211103,,2.3796,1.8,0.35,,1.0,0.0001,,MSCI全球指数(MSCI All Country World Index)收益率*75%+沪深300指数收益率*20%+境内银行活期存款利率(税后)*5%,L,股票型,契约型开放式,,,,O
014279.OF,汇添富北交所创新精选两年定开A,汇添富基金,中国工商银行,混合型,20211123,,,20211119,,4.2778,1.5,0.25,,1.0,0.001,,中证1000指数收益率*60%+中债综合指数收益率*30%+恒生指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,,,O
013930.OF,中银证券恒瑞9个月持有C,中银证券,中国农业银行,混合型,20211123,,,20211101,,2.7646,0.6,0.15,,1.0,0.001,,中债综合全价指数收益率*75%+中证800指数收益率*20%+同期银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,,,O
014280.OF,汇添富北交所创新精选两年定开C,汇添富基金,中国工商银行,混合型,20211123,,,20211119,,0.677,1.5,0.25,,1.0,0.001,,中证1000指数收益率*60%+中债综合指数收益率*30%+恒生指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,,,O
013329.OF,嘉实全球价值机会美元现汇,嘉实基金,中国农业银行,股票型,20211123,,,20211103,,0.0028,1.8,0.35,,1.0,0.0001,,MSCI全球指数(MSCI All Country World Index)收益率*75%+沪深300指数收益率*20%+境内银行活期存款利率(税后)*5%,L,股票型,契约型开放式,,,,O
010217.OF,中银添禧丰禄稳健养老目标一年持有,中银基金,兴业银行,混合型,20211123,,,20211115,,2.2201,0.6,0.15,,1.0,0.001,,中债综合全价(总值)指数收益率*80%+中证股票型基金指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,,,O
001296.OF,长城悦享增利A,长城基金,中国银行,债券型,20211123,,,20211123,,,0.3,0.1,,1.0,,,中债综合财富指数收益率*90%+沪深300指数收益率*8%+中证港股通综合指数收益率(使用估值汇率折算)*2%,L,债券型,契约型开放式,,20211123,20211123,O
014035.OF,长城悦享增利C,长城基金,中国银行,债券型,20211123,,,,,,0.3,0.1,,1.0,,,中债综合财富指数收益率*90%+沪深300指数收益率*8%+中证港股通综合指数收益率(使用估值汇率折算)*2%,L,债券型,契约型开放式,,20211123,20211123,O
014271.OF,大成北交所两年定开A,大成基金,招商银行,混合型,20211123,,,20211119,,4.0333,1.5,0.25,,1.0,0.0001,,中国战略新兴产业综合指数收益率*70%+中债综合全价(总值)指数收益率*20%+恒生指数收益率(使用估值汇率调整)*10%,L,混合型,契约型开放式,,,,O
013929.OF,中银证券恒瑞9个月持有A,中银证券,中国农业银行,混合型,20211123,,,20211101,,7.6357,0.6,0.15,,1.0,0.001,,中债综合全价指数收益率*75%+中证800指数收益率*20%+同期银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,,,O
014294.OF,南方北交所精选两年定开,南方基金,交通银行,混合型,20211123,,,20211119,,4.948,1.5,0.25,,1.0,0.0001,,中国战略新兴产业综合指数收益率*65%+中债总指数收益率*25%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,,,O
013357.OF,大摩沪港深精选C,摩根士丹利华鑫基金,中国农业银行,混合型,20211123,,,20211108,,1.622,1.5,0.25,,1.0,0.001,,沪深300指数收益率*40%+恒生指数收益率*40%+人民币活期存款利率(税后)*20%,L,混合型,契约型开放式,,20211228,20211228,O
014274.OF,广发北交所精选两年定开C,广发基金,华夏银行,混合型,20211123,,,20211119,,1.0076,1.5,0.25,,1.0,0.0001,,中证1000指数收益率*80%+中债综合财富(总值)指数收益率*20%,L,混合型,契约型开放式,,,,O
014273.OF,广发北交所精选两年定开A,广发基金,华夏银行,混合型,20211123,,,20211119,,3.9519,1.5,0.25,,1.0,0.0001,,中证1000指数收益率*80%+中债综合财富(总值)指数收益率*20%,L,混合型,契约型开放式,,,,O
013812.OF,景顺长城景气进取A,景顺长城基金,招商银行,混合型,20211123,,,20211108,,60.431,1.5,0.25,,1.0,0.0001,,中证800指数收益率*75%+中证综合债指数收益率*20%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,,,O
014276.OF,易方达北交所精选两年定开C,易方达基金,中国工商银行,混合型,20211123,,,20211119,,1.0231,1.5,0.25,,1.0,0.0001,,中证1000指数收益率*65%+中债总指数收益率*25%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,,,O
013813.OF,景顺长城景气进取C,景顺长城基金,招商银行,混合型,20211123,,,20211108,,13.8244,1.5,0.25,,1.0,0.0001,,中证800指数收益率*75%+中证综合债指数收益率*20%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,,,O
014270.OF,嘉实北交所精选两年定开C,嘉实基金,招商银行,混合型,20211123,,,20211119,,0.817,1.5,0.25,,1.0,0.0001,,中国战略新兴产业综合指数收益率*75%+中债综合财富指数收益率*20%+恒生指数收益率*5%,L,混合型,契约型开放式,,,,O
013356.OF,大摩沪港深精选A,摩根士丹利华鑫基金,中国农业银行,混合型,20211123,,,20211108,,0.8553,1.5,0.25,,1.0,0.001,,沪深300指数收益率*40%+恒生指数收益率*40%+人民币活期存款利率(税后)*20%,L,混合型,契约型开放式,,20211228,20211228,O
014277.OF,万家北交所慧选两年定开A,万家基金,中国农业银行,混合型,20211123,,,20211119,,4.3448,1.5,0.25,,1.0,0.001,,中国战略新兴产业综合指数收益率*65%+中债综合指数收益率*30%+恒生指数收益率*5%,L,混合型,契约型开放式,,,,O
011904.OF,南方领航优选C,南方基金,交通银行,混合型,20211123,,,20210904,,0.7011,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+上证国债指数收益率*30%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,,,O
014269.OF,嘉实北交所精选两年定开A,嘉实基金,招商银行,混合型,20211123,,,20211119,,4.183,1.5,0.25,,1.0,0.0001,,中国战略新兴产业综合指数收益率*75%+中债综合财富指数收益率*20%+恒生指数收益率*5%,L,混合型,契约型开放式,,,,O
014278.OF,万家北交所慧选两年定开C,万家基金,中国农业银行,混合型,20211123,,,20211119,,0.6058,1.5,0.25,,1.0,0.001,,中国战略新兴产业综合指数收益率*65%+中债综合指数收益率*30%+恒生指数收益率*5%,L,混合型,契约型开放式,,,,O
012160.OF,财通资管健康产业C,财通证券资管,兴业银行,混合型,20211123,,,20211008,,1.6439,1.5,0.25,,1.0,0.001,,中证医药卫生指数收益率*70%+中债综合指数收益率*30%,L,混合型,契约型开放式,,,,O
012159.OF,财通资管健康产业A,财通证券资管,兴业银行,混合型,20211123,,,20211008,,12.4486,1.5,0.25,,1.0,0.001,,中证医药卫生指数收益率*70%+中债综合指数收益率*30%,L,混合型,契约型开放式,,,,O
011903.OF,南方领航优选A,南方基金,交通银行,混合型,20211123,,,20210904,,2.1307,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+上证国债指数收益率*30%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,,,O
014272.OF,大成北交所两年定开C,大成基金,招商银行,混合型,20211123,,,20211119,,0.9667,1.5,0.25,,1.0,0.0001,,中国战略新兴产业综合指数收益率*70%+中债综合全价(总值)指数收益率*20%+恒生指数收益率(使用估值汇率调整)*10%,L,混合型,契约型开放式,,,,O
014283.OF,华夏北交所创新中小企业精选两年定开,华夏基金,中国农业银行,混合型,20211123,,,20211119,,4.9485,1.5,0.25,,1.0,0.0001,,中证1000指数收益率*75%+上证国债指数收益率*20%+中证港股通综合指数收益率*5%,L,混合型,契约型开放式,,,,O
012935.OF,万家鼎鑫一年定开,万家基金,中国邮政储蓄银行,债券型,20211123,,,20211122,,50.0,0.3,0.1,,1.0,,,中债综合指数(全价)收益率,L,债券型,契约型开放式,,,,O
940018.OF,华泰紫金天天发,华泰证券资管,中国证券登记结算公司,货币市场型,20211122,,,20211122,,,0.9,0.05,,1.0,,,活期存款利率(税后)*100%,L,货币型,契约型开放式,,20211122,20211122,O
014127.OF,融通核心价值C,融通基金,中国工商银行,混合型,20211122,,,,,,1.5,0.25,,1.0,,,恒生指数(Hang Seng Index)收益率*70%+中债综合全价(总值)指数收益率*30%,L,混合型,契约型开放式,,20211122,20211123,O
011688.OF,易方达龙头优选两年持有C,易方达基金,浦发银行,混合型,20211122,,,20210819,,0.5661,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中债总指数收益率*20%+中证港股通综合指数收益率*15%,L,混合型,契约型开放式,,,,O
013415.OF,永赢中证全指医疗器械ETF联接A,永赢基金,招商银行,股票型,20211122,,,20211109,,0.3078,0.5,0.1,,1.0,0.0001,,中证全指医疗器械指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211125,20211125,O
011687.OF,易方达龙头优选两年持有A,易方达基金,浦发银行,混合型,20211122,,,20210819,,2.34,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中债总指数收益率*20%+中证港股通综合指数收益率*15%,L,混合型,契约型开放式,,,,O
013416.OF,永赢中证全指医疗器械ETF联接C,永赢基金,招商银行,股票型,20211122,,,20211109,,0.0853,0.5,0.1,,1.0,0.0001,,中证全指医疗器械指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211125,20211125,O
013663.OF,富国安福30天滚动持有A,富国基金,招商银行,债券型,20211122,,,20211115,,0.1313,0.2,0.05,,1.0,0.001,,中债综合财富(1年以下)指数收益率*85%+银行一年期定期存款基准利率(税后)*15%,L,债券型,契约型开放式,,20211213,20211222,O
014118.OF,国泰中证沪港深创新药产业ETF联接C,国泰基金,招商银行,股票型,20211122,,,20211118,,0.0529,0.5,0.1,,1.0,0.0001,,中证沪港深创新药产业指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211201,20211201,O
014117.OF,国泰中证沪港深创新药产业ETF联接A,国泰基金,招商银行,股票型,20211122,,,20211118,,0.1017,0.5,0.1,,1.0,0.0001,,中证沪港深创新药产业指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211201,20211201,O
013664.OF,富国安福30天滚动持有C,富国基金,招商银行,债券型,20211122,,,20211115,,0.214,0.2,0.05,,1.0,0.001,,中债综合财富(1年以下)指数收益率*85%+银行一年期定期存款基准利率(税后)*15%,L,债券型,契约型开放式,,20211213,20211222,O
013689.OF,湘财久盛39个月定开A,湘财基金,浙商银行,债券型,20211122,,,20211011,,10.0001,0.15,0.05,,1.0,0.001,,封闭期起始日公布的三年定期存款利率(税后)+1.5%,L,债券型,契约型开放式,,,,O
013690.OF,湘财久盛39个月定开C,湘财基金,浙商银行,债券型,20211122,,,20211011,,0.0003,0.15,0.05,,1.0,0.001,,封闭期起始日公布的三年定期存款利率(税后)+1.5%,L,债券型,契约型开放式,,,,O
013807.OF,财通资管鸿越3个月滚动持有E,财通证券资管,中国工商银行,债券型,20211122,,,,,,0.3,0.1,,1.0,,,中债综合财富(1年以下)指数收益率*60%+中债综合财富(1-3年)指数收益率*20%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,20211122,20220222,O
013805.OF,财通资管鸿越3个月滚动持有B,财通证券资管,中国工商银行,债券型,20211122,,,20211122,,,0.3,0.1,,1.0,,,中债综合财富(1年以下)指数收益率*60%+中债综合财富(1-3年)指数收益率*20%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,,20211122,O
013806.OF,财通资管鸿越3个月滚动持有C,财通证券资管,中国工商银行,债券型,20211122,,,,,,0.3,0.1,,1.0,,,中债综合财富(1年以下)指数收益率*60%+中债综合财富(1-3年)指数收益率*20%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,20211122,20220222,O
013804.OF,财通资管鸿越3个月滚动持有A,财通证券资管,中国工商银行,债券型,20211122,,,,,,0.3,0.1,,1.0,,,中债综合财富(1年以下)指数收益率*60%+中债综合财富(1-3年)指数收益率*20%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,20211122,20220222,O
014143.OF,银河创新成长C,银河基金,招商银行,混合型,20211122,,,,,,1.5,0.25,,1.0,,,中证500指数收益率*75%+上证国债指数收益率*25%,L,混合型,契约型开放式,,20211122,20211123,O
014260.OF,万家新机遇龙头企业C,万家基金,中国建设银行,混合型,20211119,,,,,,1.5,0.25,,1.0,,,中证全债指数收益率*40%+沪深300指数收益率*35%+恒生指数收益率*25%,L,灵活配置型,契约型开放式,,20211119,20211119,O
013174.OF,银华华证ESG领先,银华基金,中国邮政储蓄银行,股票型,20211119,,,20211101,,2.819,0.5,0.1,,1.0,0.001,,华证ESG领先指数收益率*95%+同期银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211202,20211202,O
014083.OF,浙商汇金月享30天滚动持有A,浙商资管,宁波银行,债券型,20211119,,,20211103,,1.4041,0.2,0.05,,1.0,0.001,,中债综合财富(1年以下)指数收益率*60%+中债综合财富(1-3年)指数收益率*20%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,20211206,20211220,O
014084.OF,浙商汇金月享30天滚动持有C,浙商资管,宁波银行,债券型,20211119,,,20211103,,0.8956,0.2,0.05,,1.0,0.001,,中债综合财富(1年以下)指数收益率*60%+中债综合财富(1-3年)指数收益率*20%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,20211206,20211220,O
014162.OF,万家人工智能C,万家基金,中国建设银行,混合型,20211119,,,,,,1.5,0.25,,1.0,,,中证800指数收益率*65%+上证国债指数收益率*35%,L,混合型,契约型开放式,,20211119,20211119,O
014096.OF,交银经济新动力C,交银施罗德基金,中国建设银行,混合型,20211119,,,,,,1.5,0.25,,1.0,,,沪深300指数收益率*60%+中证综合债券指数收益率*40%,L,混合型,契约型开放式,,20211119,20211119,O
014064.OF,银华农业产业C,银华基金,中国农业银行,股票型,20211119,,,,,,1.5,0.25,,1.0,,,申万农林牧渔指数收益率*80%+中债总指数收益率*20%,L,股票型,契约型开放式,,20211119,20211119,O
012183.OF,广发沪港深精选C,广发基金,宁波银行,混合型,20211118,,,20211008,,0.7758,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*40%+人民币计价的恒生指数收益率*40%+中证全债指数收益率*20%,L,混合型,契约型开放式,,20211220,20211220,O
012182.OF,广发沪港深精选A,广发基金,宁波银行,混合型,20211118,,,20211008,,1.5485,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*40%+人民币计价的恒生指数收益率*40%+中证全债指数收益率*20%,L,混合型,契约型开放式,,20211220,20211220,O
014047.OF,银华盛世精选C,银华基金,宁波银行,混合型,20211118,,,,,,1.5,0.25,,1.0,,,中证800指数收益率*50%+中证综合债券指数收益率*50%,L,灵活配置型,契约型开放式,,20211118,20211118,O
013636.OF,国投瑞银策略回报A,国投瑞银基金,中国工商银行,混合型,20211118,,,20211103,,3.4993,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+中证港股通综合指数收益率*20%+中债综合指数收益率*20,L,混合型,契约型开放式,,,,O
013822.OF,南方月月享30天滚动持有A,南方基金,中国农业银行,债券型,20211118,,,20211108,,2.6985,0.2,0.05,,1.0,0.0001,,中债综合财富(1年以下)指数收益率*80%+银行一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,20211220,20211220,O
014128.OF,西藏东财中证沪港深创新药A,西藏东财基金,招商证券,股票型,20211118,,,20211108,,0.369,0.5,0.05,,1.0,0.0001,,中证沪港深创新药产业指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
014056.OF,太平丰润一年定开,太平基金,中国光大银行,债券型,20211118,,,20211111,,29.02,0.35,0.08,,1.0,,,中债综合指数收益率*90%+沪深300指数收益率*5%+中证港股通综合指数(人民币)收益率*5%,L,债券型,契约型开放式,,,,O
014129.OF,西藏东财中证沪港深创新药C,西藏东财基金,招商证券,股票型,20211118,,,20211108,,0.3464,0.5,0.05,,1.0,0.0001,,中证沪港深创新药产业指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
013823.OF,南方月月享30天滚动持有C,南方基金,中国农业银行,债券型,20211118,,,20211108,,3.1425,0.2,0.05,,1.0,0.0001,,中债综合财富(1年以下)指数收益率*80%+银行一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,20211220,20211220,O
880011.OF,招商资管智远增利D,招商资管,中信银行,债券型,20211118,,,20211118,,,0.7,0.1,,1.0,,,中债综合财富(总值)指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,,20211118,O
881012.OF,招商资管智远增利A,招商资管,中信银行,债券型,20211118,,,,,,0.7,0.1,,1.0,,,中债综合财富(总值)指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20211118,20211118,O
013637.OF,国投瑞银策略回报C,国投瑞银基金,中国工商银行,混合型,20211118,,,20211103,,0.2001,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+中证港股通综合指数收益率*20%+中债综合指数收益率*20,L,混合型,契约型开放式,,,,O
881013.OF,招商资管智远增利C,招商资管,中信银行,债券型,20211118,,,,,,0.7,0.1,,1.0,,,中债综合财富(总值)指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20211118,20211118,O
013429.OF,东兴鑫享6个月滚动持有C,东兴基金,中国邮政储蓄银行,债券型,20211117,,,20211025,,0.4245,0.3,0.1,,1.0,0.0001,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,20211129,20220517,O
013428.OF,东兴鑫享6个月滚动持有A,东兴基金,中国邮政储蓄银行,债券型,20211117,,,20211025,,1.5987,0.3,0.1,,1.0,0.0001,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,20211129,20220517,O
013877.OF,财通资管新能源汽车C,财通证券资管,中国农业银行,混合型,20211117,,,20211101,,1.1074,1.5,0.25,,1.0,0.001,,中证新能源汽车指数收益率*75%+中债综合指数收益率*25%,L,混合型,契约型开放式,,,,O
013886.OF,华商新能源汽车A,华商基金,浙商银行,混合型,20211117,,,20211101,,14.687,1.5,0.25,,1.0,0.0001,,中证新能源汽车指数收益率*70%+中债总全价(总值)指数收益率*20%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,,,O
013887.OF,华商新能源汽车C,华商基金,浙商银行,混合型,20211117,,,20211101,,5.5782,1.5,0.25,,1.0,0.0001,,中证新能源汽车指数收益率*70%+中债总全价(总值)指数收益率*20%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,,,O
013739.OF,百嘉聚利A,百嘉基金,招商证券,混合型,20211117,,,20211026,,0.0137,0.7,0.25,,1.0,0.0001,,沪深300指数收益率*75%+中证综合债指数收益率*25%,L,混合型,契约型开放式,,20211220,20211220,O
013876.OF,财通资管新能源汽车A,财通证券资管,中国农业银行,混合型,20211117,,,20211101,,0.1464,1.5,0.25,,1.0,0.001,,中证新能源汽车指数收益率*75%+中债综合指数收益率*25%,L,混合型,契约型开放式,,,,O
014265.OF,新华鼎利E,新华基金,中国民生银行,债券型,20211117,,,,,,0.3,0.1,,1.0,,,中债综合全价指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20211117,20211117,O
013740.OF,百嘉聚利C,百嘉基金,招商证券,混合型,20211117,,,20211026,,2.4242,0.7,0.25,,1.0,0.0001,,沪深300指数收益率*75%+中证综合债指数收益率*25%,L,混合型,契约型开放式,,20211220,20211220,O
013186.OF,长城恒利纯债A,长城基金,恒丰银行,债券型,20211117,,,20211111,,2.02,0.3,0.1,,1.0,0.0001,,中债综合全价指数收益率,L,债券型,契约型开放式,,20211124,20211124,O
013187.OF,长城恒利纯债C,长城基金,恒丰银行,债券型,20211117,,,20211111,,0.0001,0.3,0.1,,1.0,0.0001,,中债综合全价指数收益率,L,债券型,契约型开放式,,20211124,20211124,O
013901.OF,华安众享180天持有A,华安基金,中国工商银行,债券型,20211116,,,20211101,,5.1184,0.3,0.05,,1.0,0.0001,,中债综合财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,20211130,20220516,O
012901.OF,招商创业板指数增强C,招商基金,中国银河,股票型,20211116,,,20211011,,2.7895,1.2,0.1,,1.0,0.0001,,创业板指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20211124,20211124,O
012188.OF,华安优势龙头A,华安基金,中国银行,混合型,20211116,,,20211012,,11.2587,1.5,0.25,,1.0,0.0001,,中证800指数收益率*50%+中证港股通综合指数收益率*30%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,,,O
012189.OF,华安优势龙头C,华安基金,中国银行,混合型,20211116,,,20211012,,1.3312,1.5,0.25,,1.0,0.0001,,中证800指数收益率*50%+中证港股通综合指数收益率*30%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,,,O
013389.OF,华夏成长先锋一年持有A,华夏基金,中国建设银行,混合型,20211116,,,20211101,,14.1191,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+中证港股通综合指数收益率*20%+上证国债指数收益率*20%,L,混合型,契约型开放式,,20211129,20221116,O
012065.OF,嘉实民安添复一年持有A,嘉实基金,中国民生银行,混合型,20211116,,,20210929,,20.523,0.8,0.2,,1.0,0.0001,,中债总全价指数收益率*90%+中证800股票指数收益率*5%+恒生指数收益率*5%(人民币计价),L,混合型,契约型开放式,,,,O
