ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market
159978.SZ,大湾区ETF,建信基金,股票型,20200306,0.3,0.1,中证沪港深粤港澳大湾区发展主题指数,被动指数型,E
159804.SZ,创中盘88ETF,国寿安保基金,股票型,20200304,0.3,0.1,国证创业板中盘精选88指数,被动指数型,E
515630.SH,保险证券ETF,鹏华基金,股票型,20200228,0.5,0.1,中证800证券保险指数收益率,被动指数型,E
159996.SZ,家电ETF,国泰基金,股票型,20200227,0.5,0.1,中证全指家用电器指数收益率,被动指数型,E
159997.SZ,电子ETF,天弘基金,股票型,20200227,0.5,0.1,中证电子指数收益率,被动指数型,E
159983.SZ,粤港澳大湾区ETF,华夏基金,股票型,20200225,0.3,0.1,粤港澳大湾区创新100指数收益率,被动指数型,E
501092.SH,交银瑞思,交银施罗德基金,混合型,20200221,1.5,0.25,沪深300指数收益率*70%+中证综合债券指数收益率*25%+恒生指数收益率*5%,混合型,E
515030.SH,新能源车ETF,华夏基金,股票型,20200220,0.5,0.1,中证新能源汽车指数收益率,被动指数型,E
502000.SH,500增强LOF,西部利得基金,股票型,20200219,1.0,0.2,中证500指数收益率*95%+商业银行活期存款利率(税后)*5%,增强指数型,E
169107.SZ,东方红恒阳定开,东证资管,混合型,20200213,1.5,0.25,沪深300指数收益率*70%+恒生指数收益率*20%+中国债券总指数收益率*10%,混合型,E
515160.SH,MSCI中国ETF招商,招商基金,股票型,20200203,0.5,0.1,MSCI中国A股国际通指数(MSCI China A Inclusion RMB Index)收益率,被动指数型,E
159994.SZ,5GETF,银华基金,股票型,20200122,0.5,0.1,中证5G通信主题指数,被动指数型,E
515210.SH,钢铁ETF,国泰基金,股票型,20200122,0.5,0.1,中证钢铁指数收益率,被动指数型,E
515850.SH,证券龙头ETF,富国基金,股票型,20200121,0.5,0.1,中证全指证券公司指数收益率,被动指数型,E
159995.SZ,芯片ETF,华夏基金,股票型,20200120,0.5,0.1,国证半导体芯片指数收益率,被动指数型,E
501091.SH,嘉实瑞熙,嘉实基金,混合型,20200120,1.5,0.25,沪深300指数收益率*60%+中债综合财富指数收益率*30%+恒生指数收益率*10%,混合型,E
515220.SH,煤炭ETF,国泰基金,股票型,20200120,0.5,0.1,中证煤炭指数收益率,被动指数型,E
159801.SZ,芯片ETF龙头,广发基金,股票型,20200120,0.5,0.1,国证半导体芯片指数收益率,被动指数型,E
515090.SH,可持续发展ETF,博时基金,股票型,20200119,0.5,0.1,中证可持续发展100指数收益率,被动指数型,E
515570.SH,山证红利ETF,山西证券,股票型,20200117,0.5,0.1,中证红利潜力指数收益率,被动指数型,E
515450.SH,红利低波50ETF,南方基金,股票型,20200117,0.5,0.1,标普中国A股大盘红利低波50指数收益率,被动指数型,E
515700.SH,新能车ETF,平安基金,股票型,20191231,0.15,0.05,中证新能源汽车产业指数收益率,被动指数型,E
515380.SH,泰康沪深300ETF,泰康基金,股票型,20191227,0.4,0.05,沪深300指数收益率,被动指数型,E
159993.SZ,龙头券商ETF,鹏华基金,股票型,20191226,0.5,0.1,国证证券龙头指数收益率,被动指数型,E
515980.SH,人工智能ETF,华富基金,股票型,20191224,0.5,0.1,中证人工智能产业指数收益率,被动指数型,E
515350.SH,民生加银300ETF,民生加银基金,股票型,20191224,0.15,0.05,沪深300指数,被动指数型,E
501090.SH,消费龙头LOF,华宝基金,股票型,20191219,0.75,0.1,中证消费龙头指数收益率*95%+人民币银行活期存款利率(税后)*5%,被动指数型,E
512730.SH,中证银行ETF,鹏华基金,股票型,20191219,0.3,0.1,中证银行指数收益率,被动指数型,E
159970.SZ,深100ETF工银,工银瑞信基金,股票型,20191219,0.45,0.1,深证100指数收益率,被动指数型,E
161837.SZ,银华大盘定开,银华基金,混合型,20191216,1.5,0.25,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率调整)*20%+中证综合债指数收益率*20%,混合型,E
159981.SZ,能源化工ETF,建信基金,商品型,20191213,0.5,0.1,易盛郑商所能源化工指数A收益率,能源化工期货型,E
515390.SH,华安沪深300ETF,华安基金,股票型,20191213,0.15,0.05,沪深300指数收益率,被动指数型,E
515070.SH,人工智能AIETF,华夏基金,股票型,20191209,0.5,0.1,中证人工智能主题指数收益率,被动指数型,E
159990.SZ,小盘价值ETF,银华基金,股票型,20191206,0.5,0.1,巨潮小盘价值指数,被动指数型,E
167506.SZ,安信深圳科技LOF,安信基金,股票型,20191206,0.5,0.1,中证深圳科技创新主题指数收益率*95%+银行活期存款利率(税后)*5%,被动指数型,E
515870.SH,先进制造ETF,嘉实基金,股票型,20191205,0.5,0.1,中证先进制造100策略指数收益率,被动指数型,E
515330.SH,300ETF天弘,天弘基金,股票型,20191205,0.5,0.1,沪深300指数收益率,被动指数型,E
515310.SH,沪深300添富ETF,汇添富基金,股票型,20191204,0.15,0.05,沪深300指数收益率,被动指数型,E
501089.SH,消费红利增强LOF,方正富邦基金,股票型,20191129,1.2,0.2,中证主要消费红利指数收益率*95%+人民币银行活期存款收益率(税后)*5%,增强指数型,E
159984.SZ,湾区100ETF,南方基金,股票型,20191129,0.3,0.1,粤港澳大湾区创新100指数,被动指数型,E
515060.SH,房地产ETF基金,华夏基金,股票型,20191128,0.5,0.1,中证全指房地产指数收益率,被动指数型,E
515080.SH,中证红利ETF,招商基金,股票型,20191128,0.2,0.1,中证红利指数收益率,被动指数型,E
515180.SH,红利ETF易方达,易方达基金,股票型,20191126,0.15,0.05,中证红利指数收益率,被动指数型,E
515660.SH,国联安沪深300ETF,国联安基金,股票型,20191125,0.3,0.05,沪深300指数,被动指数型,E
159982.SZ,中证500ETF鹏华,鹏华基金,股票型,20191121,0.15,0.05,中证500指数收益率,被动指数型,E
515750.SH,科技50ETF,富国基金,股票型,20191115,0.5,0.1,中证科技50策略指数收益率,被动指数型,E
515550.SH,中融中证500ETF,中融基金,股票型,20191115,0.3,0.1,中证500指数收益率,被动指数型,E
515590.SH,500等权ETF,前海开源基金,股票型,20191114,0.15,0.05,中证500等权重指数,被动指数型,E
511060.SH,5年地方债ETF,海富通基金,债券型,20191107,0.15,0.05,上证5年期地方政府债指数收益率,被动指数型,E
159975.SZ,深100ETF招商,招商基金,股票型,20191107,0.2,0.1,深证100指数(价格)收益率,被动指数型,E
515990.SH,国企一带一路ETF,汇添富基金,股票型,20191106,0.15,0.05,中证国企一带一路指数收益率,被动指数型,E
162216.SZ,泰达500增强LOF,泰达宏利基金,股票型,20191106,1.0,0.2,中证500指数收益率*95%+1年期定期存款利率(税后)*5%,增强指数型,E
515110.SH,一带一路国企ETF,易方达基金,股票型,20191106,0.15,0.05,中证国企一带一路指数收益率,被动指数型,E
166107.SZ,多因子LOF,信达澳亚基金,混合型,20191106,1.5,0.25,中证500指数收益率*95%+银行活期存款利率(税后)*5%,混合型,E
515150.SH,一带一路ETF,富国基金,股票型,20191106,0.15,0.05,中证国企一带一路指数收益率,被动指数型,E
159976.SZ,湾创ETF,工银瑞信基金,股票型,20191101,0.25,0.05,粤港澳大湾区创新100指数收益率,被动指数型,E
159987.SZ,科技创新ETF,银华基金,股票型,20191101,0.3,0.08,中证研发创新100指数,被动指数型,E
515200.SH,创新100ETF,申万菱信基金,股票型,20191025,0.5,0.1,中证研发创新100指数,被动指数型,E
159980.SZ,有色ETF,大成基金,商品型,20191024,0.6,0.1,上海期货交易所有色金属期货价格指数收益率,有色金属期货型,E
515020.SH,银行ETF华夏,华夏基金,股票型,20191024,0.5,0.1,中证银行指数收益率,被动指数型,E
510530.SH,工银中证500ETF,工银瑞信基金,股票型,20191017,0.45,0.07,中证500指数收益率,被动指数型,E
515650.SH,消费50ETF,富国基金,股票型,20191014,0.5,0.1,中证消费50指数收益率,被动指数型,E
502020.SH,上证50增强LOF,国金基金,股票型,20191014,1.0,0.1,上证50指数收益率*95%+同期银行活期存款利率(税后)*5%,增强指数型,E
515810.SH,中证800ETF,易方达基金,股票型,20191008,0.15,0.05,中证800指数收益率,被动指数型,E
515800.SH,800ETF,汇添富基金,股票型,20191008,0.15,0.05,中证800指数收益率,被动指数型,E
515580.SH,科技100ETF,华泰柏瑞基金,股票型,20190927,0.5,0.1,中证科技100指数收益率,被动指数型,E
515860.SH,科技ETF基金,嘉实基金,股票型,20190926,0.5,0.1,中证新兴科技100策略指数收益率,被动指数型,E
515520.SH,MSCI价值100ETF,大成基金,股票型,20190926,0.5,0.1,MSCI中国A股质优价值100指数,被动指数型,E
167302.SZ,大湾区LOF,方正富邦基金,股票型,20190926,0.75,0.15,恒生沪深港通大湾区综合指数收益率*95%+人民币银行活期存款利率(税后)*5%,被动指数型,E
515360.SH,方正沪深300ETF,方正富邦基金,股票型,20190924,0.5,0.1,沪深300指数收益率,被动指数型,E
159985.SZ,豆粕ETF,华夏基金,商品型,20190924,0.5,0.1,大连商品交易所豆粕期货价格指数收益率,豆粕期货型,E
512970.SH,大湾区ETF,平安基金,股票型,20190923,0.15,0.05,中证粤港澳大湾区发展主题指数收益率,被动指数型,E
161118.SZ,中小企业100LOF,易方达基金,股票型,20190920,1.0,0.22,中小企业100指数收益率*95%+活期存款利率(税后)*5%,被动指数型,E
159974.SZ,央企创新ETF,富国基金,股票型,20190920,0.15,0.05,中证央企创新驱动指数收益率,被动指数型,E
515600.SH,央企创新ETF,广发基金,股票型,20190920,0.15,0.05,中证央企创新驱动指数收益率,被动指数型,E
515680.SH,嘉实央企创新ETF,嘉实基金,股票型,20190920,0.15,0.05,中证央企创新驱动指数收益率,被动指数型,E
515900.SH,央企创新驱动ETF,博时基金,股票型,20190920,0.15,0.05,中证央企创新驱动指数收益率,被动指数型,E
515010.SH,券商ETF基金,华夏基金,股票型,20190917,0.5,0.1,中证全指证券公司指数收益率,被动指数型,E
515050.SH,5GETF,华夏基金,股票型,20190917,0.5,0.1,中证5G通信主题指数收益率,被动指数型,E
159977.SZ,创业板ETF天弘,天弘基金,股票型,20190912,0.5,0.1,创业板指数收益率,被动指数型,E
510100.SH,上证50ETF易方达,易方达基金,股票型,20190906,0.15,0.05,上证50指数收益率,被动指数型,E
501088.SH,嘉实瑞虹,嘉实基金,混合型,20190904,1.5,0.25,沪深300指数收益率*60%+中债综合财富指数收益率*30%+恒生指数收益率*10%,混合型,E
501087.SH,交银瑞丰LOF,交银施罗德基金,混合型,20190904,1.5,0.25,沪深300指数收益率*70%+中证综合债券指数收益率*25%+恒生指数收益率*5%,混合型,E
512530.SH,沪深300红利ETF,建信基金,股票型,20190823,0.5,0.1,沪深300红利指数,被动指数型,E
159972.SZ,5年地债ETF,鹏华基金,债券型,20190823,0.15,0.05,中证5年期地方政府债指数收益率,被动指数型,E
501086.SH,ESG基金LOF,华宝基金,股票型,20190821,0.5,0.1,MSCI中国A股国际通ESG通用指数*95%+人民币银行活期存款利率(税后)*5%,被动指数型,E
515880.SH,通信ETF,国泰基金,股票型,20190816,0.5,0.1,中证全指通信设备指数收益率,被动指数型,E
515300.SH,红利低波ETF基金,嘉实基金,股票型,20190808,0.5,0.1,沪深300红利低波动指数收益率,被动指数型,E
512190.SH,浙商之江凤凰ETF,浙商资管,股票型,20190805,0.5,0.1,中证浙江凤凰行动50指数收益率,被动指数型,E
159968.SZ,中证500ETF博时,博时基金,股票型,20190801,0.15,0.05,中证500指数收益率,被动指数型,E
512650.SH,长三角ETF,汇添富基金,股票型,20190726,0.15,0.05,中证长三角一体化发展主题指数收益率,被动指数型,E
512710.SH,军工龙头ETF,富国基金,股票型,20190723,0.5,0.1,中证军工龙头指数收益率,被动指数型,E
515000.SH,科技ETF,华宝基金,股票型,20190722,0.5,0.1,中证科技龙头指数收益率,被动指数型,E
501079.SH,科创大成LOF,大成基金,混合型,20190718,1.2,0.2,中国战略新兴产业成份指数收益率*60%+中债综合全价指数收益率*40%,混合型,E
161729.SZ,招商瑞利,招商基金,混合型,20190718,1.5,0.2,沪深300指数收益率*60%+中证全债指数收益率*30%+恒生指数收益率(使用估值汇率折算)*10%,灵活配置型,E
159973.SZ,民企领先100ETF,弘毅远方基金,股票型,20190716,0.3,0.2,国证民企领先100指数收益率,被动指数型,E
512930.SH,AIETF,平安基金,股票型,20190712,0.15,0.05,中证人工智能主题指数收益率,被动指数型,E
512720.SH,计算机ETF,国泰基金,股票型,20190711,0.5,0.1,中证计算机主题指数收益率,被动指数型,E
501085.SH,财通科创LOF,财通基金,混合型,20190711,1.5,0.25,中国战略新兴产业成份指数收益率*75%+上证国债指数收益率*25%,灵活配置型,E
501080.SH,科创主题投资基金LOF,中金基金,混合型,20190711,1.2,0.2,中国战略新兴产业成份指数收益率*65%+中债-综合全价(总值)指数收益率*35%,灵活配置型,E
501083.SH,科创银华LOF,银华基金,混合型,20190705,1.5,0.25,中债综合财富指数收益率*50%+中国战略新兴产业成份指数收益率*40%+恒生指数收益率(使用估值汇率调整)*10%,灵活配置型,E
512670.SH,国防ETF,鹏华基金,股票型,20190705,0.3,0.1,中证国防指数收益率,被动指数型,E
159969.SZ,深100ETF银华,银华基金,股票型,20190628,0.2,0.1,深证100指数,被动指数型,E
501081.SH,科创中欧LOF,中欧基金,混合型,20190628,1.5,0.25,中国战略新兴产业成份指数收益率*50%+中债综合指数收益率*40%+恒生指数收益率*10%,混合型,E
501082.SH,科创投资LOF,博时基金,混合型,20190627,1.0,0.25,中国战略新兴产业成份指数收益率*50%+中债综合财富(总值)指数收益率*30%+中证港股通综合指数(人民币)*20%,灵活配置型,E
160645.SZ,鹏华精选回报定开,鹏华基金,混合型,20190625,1.5,0.25,沪深300指数收益率*60%+恒生指数收益率(经汇率调整后)*20%+中证综合债指数收益率*20%,混合型,E
159967.SZ,创成长ETF,华夏基金,股票型,20190621,0.5,0.1,创业板动量成长指数收益率,被动指数型,E
159966.SZ,创蓝筹ETF,华夏基金,股票型,20190614,0.5,0.1,创业板低波蓝筹指数收益率,被动指数型,E
513000.SH,日经225ETF易方达,易方达基金,股票型,20190612,0.2,0.05,日经225指数收益率(使用估值汇率折算),被动指数型,E
513520.SH,日经ETF,华夏基金,股票型,20190612,0.2,0.05,日经225指数收益率(经汇率调整后),被动指数型,E
513800.SH,东京证券指数ETF,南方基金,股票型,20190612,0.2,0.05,"东证指数(Tokyo Stock Price Index,“TOPIX”)(经汇率调整后)",被动指数型,E
513880.SH,日经225ETF,华安基金,股票型,20190612,0.2,0.05,日经225指数收益率(经汇率调整后),被动指数型,E
501075.SH,科创主题LOF,万家基金,混合型,20190612,1.5,0.25,中国战略新兴产业成份指数收益率*50%+中债综合指数收益率*50%,灵活配置型,E
501078.SH,科创配置LOF,广发基金,混合型,20190611,1.5,0.25,中国战略新兴产业成份指数收益率*60%+中债综合财富(总值)指数收益率*40%,灵活配置型,E
501077.SH,富国创新企业LOF,富国基金,混合型,20190611,1.5,0.25,中国战略新兴产业成份指数收益率*50%+中债总指数收益率*50%,灵活配置型,E
501073.SH,华安智联LOF,华安基金,混合型,20190611,1.2,0.2,中债综合指数收益率*80%+中证800指数收益率*20%,混合型,E
159971.SZ,创业板ETF富国,富国基金,股票型,20190611,0.3,0.1,创业板指数收益率,被动指数型,E
501076.SH,鹏华创新动力LOF,鹏华基金,混合型,20190610,1.5,0.25,中国战略新兴产业成份指数收益率*30%+沪深300指数收益率*30%+中债综合指数收益率*30%+恒生指数收益率(使用估值汇率折算)*10%,灵活配置型,E
160526.SZ,博时优势企业,博时基金,混合型,20190603,1.5,0.25,沪深300指数收益率*60%+恒生指数收益率*20%+中债综合财富(总值)指数收益率*20%,灵活配置型,E
512910.SH,中证100ETF,广发基金,股票型,20190527,0.5,0.1,中证100指数,被动指数型,E
512750.SH,基本面50ETF,嘉实基金,股票型,20190523,0.5,0.1,中证锐联基本面50指数收益率,被动指数型,E
512170.SH,医疗ETF,华宝基金,股票型,20190520,0.5,0.1,中证医疗指数收益率,被动指数型,E
510350.SH,工银沪深300ETF,工银瑞信基金,股票型,20190520,0.45,0.1,沪深300指数收益率,被动指数型,E
512760.SH,芯片ETF,国泰基金,股票型,20190516,0.5,0.1,中华交易服务半导体芯片行业指数收益率,被动指数型,E
161029.SZ,银行龙头LOF,富国基金,股票型,20190510,1.0,0.22,中证银行指数收益率*95%+银行人民币活期存款利率(税后)*5%,被动指数型,E
512480.SH,半导体ETF,国联安基金,股票型,20190508,0.5,0.1,中证全指半导体产品与设备指数收益率,被动指数型,E
166025.SZ,中欧远见定开,中欧基金,混合型,20190424,1.5,0.25,沪深300指数收益率*50%+中债综合指数收益率*40%+恒生指数收益率(使用估值汇率折算)*10%,混合型,E
512290.SH,生物医药ETF,国泰基金,股票型,20190418,0.5,0.1,中证生物医药指数收益率,被动指数型,E
512690.SH,酒ETF,鹏华基金,股票型,20190404,0.5,0.1,中证酒指数收益率,被动指数型,E
501071.SH,泓德丰泽LOF,泓德基金,混合型,20190328,1.5,0.25,中证800指数收益率*70%+中国债券综合全价指数收益率*30%,灵活配置型,E
161912.SZ,社会责任定开,万家基金,混合型,20190321,1.5,0.25,沪深300指数收益率*80%+上证国债指数收益率*20%,混合型,E
160925.SZ,沪深港300LOF,大成基金,股票型,20190320,0.5,0.1,中华交易服务沪深港300指数(人民币)收益率*95%+人民币活期存款利率(税后)*5%,被动指数型,E
159965.SZ,央视50ETF,中融基金,股票型,20190319,0.5,0.1,央视财经50指数收益率,被动指数型,E
512380.SH,MSCI中国ETF,银华基金,股票型,20190319,0.5,0.1,MSCI中国A股人民币指数收益率,被动指数型,E
159964.SZ,平安创业板ETF,平安基金,股票型,20190315,0.15,0.05,创业板指数收益率,被动指数型,E
501063.SH,添富悦享,汇添富基金,混合型,20190131,1.5,0.25,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合财富指数收益率*20%,混合型,E
501070.SH,广发睿阳,广发基金,混合型,20190131,1.5,0.25,中证800指数收益率*65%+中证全债指数收益率*35%,混合型,E
512590.SH,高股息ETF,浦银安盛基金,股票型,20190129,0.5,0.1,中证高股息精选指数收益率,被动指数型,E
501069.SH,质量基金LOF,华宝基金,股票型,20190124,0.75,0.1,标普中国A股质量价值指数收益率*95%+人民币银行活期存款利率(税后)*5%,被动指数型,E
501311.SH,新经济港股通LOF,嘉实基金,股票型,20190114,0.75,0.15,恒生港股通新经济指数收益率(人民币计价)*95%+银行活期存款利率(税后)*5%,被动指数型,E
501064.SH,国泰价值,国泰基金,混合型,20190110,1.5,0.25,沪深300指数收益率*60%+中债综合指数收益率*40%,灵活配置型,E
511030.SH,公司债ETF,平安基金,债券型,20181227,0.25,0.08,中债-中高等级公司债利差因子指数收益率,被动指数型,E
511020.SH,活跃国债ETF,平安基金,债券型,20181221,0.25,0.05,中证5-10年期国债活跃券指数收益率*100%,被动指数型,E
512150.SH,A50ETF,汇安基金,股票型,20181221,0.5,0.1,富时中国A50指数收益率,被动指数型,E
512890.SH,红利低波ETF,华泰柏瑞基金,股票型,20181219,0.5,0.1,中证红利低波动指数收益率,被动指数型,E
512870.SH,杭州湾区ETF,南华基金,股票型,20181214,0.5,0.1,中证杭州湾区指数收益率,被动指数型,E
513680.SH,恒生国企ETF,建信基金,股票型,20181213,0.5,0.1,恒生中国企业指数收益率(经汇率调整),被动指数型,E
510850.SH,工银上证50ETF,工银瑞信基金,股票型,20181207,0.5,0.1,上证50指数收益率,被动指数型,E
501065.SH,经典成长,汇添富基金,混合型,20181205,1.5,0.25,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合财富指数收益率*20%,混合型,E
501067.SH,富时AH50LOF,招商基金,股票型,20181203,0.8,0.15,富时中国A-H50指数收益率*95%+同期银行活期存款利率(税后)*5%,被动指数型,E
501068.SH,AH50LOF,招商基金,股票型,20181203,0.8,0.15,富时中国A-H50指数收益率*95%+同期银行活期存款利率(税后)*5%,被动指数型,E
512260.SH,中证500低波ETF,华安基金,股票型,20181130,0.5,0.1,中证500行业中性低波动指数收益率,被动指数型,E
510550.SH,方正中证500ETF,方正富邦基金,股票型,20181130,0.5,0.1,中证500指数收益率,被动指数型,E
512040.SH,价值100ETF,富国基金,股票型,20181107,0.6,0.1,中证国信价值指数收益率,被动指数型,E
512920.SH,MSCIETF新华,新华基金,股票型,20181107,0.5,0.1,MSCI中国A股国际指数收益率,被动指数型,E
501309.SH,港股通LOF,国泰基金,股票型,20181106,0.75,0.2,经人民币汇率调整的恒生港股通指数收益率*95%+银行活期存款利率(税后)*5%,被动指数型,E
501066.SH,东方红恒元,东证资管,混合型,20181102,1.5,0.25,沪深300指数收益率*60%+恒生指数收益率*20%+中国债券总指数收益率*20%,灵活配置型,E
159961.SZ,深100ETF方正富邦,方正富邦基金,股票型,20181102,0.5,0.1,深证100价格指数收益率,被动指数型,E
161132.SZ,易方达科顺定开,易方达基金,混合型,20181026,1.5,0.25,中证800指数收益率*40%+中债总指数收益率*40%+中证港股通综合指数收益率*20%,灵活配置型,E
501310.SH,价值基金LOF,华宝基金,股票型,20181025,0.75,0.15,标普沪港深中国增强价值指数收益率*95%+人民币银行活期存款利率(税后)*5%,被动指数型,E
512820.SH,银行业ETF,汇添富基金,股票型,20181023,0.5,0.1,中证银行指数收益率,被动指数型,E
159959.SZ,央企ETF,银华基金,股票型,20181022,0.15,0.05,中证央企结构调整指数收益率,被动指数型,E
512960.SH,央企结构调整ETF,博时基金,股票型,20181019,0.15,0.05,中证央企结构调整指数收益率,被动指数型,E
512950.SH,央企改革ETF,华夏基金,股票型,20181019,0.15,0.05,中证央企结构调整指数收益率,被动指数型,E
511270.SH,10年地方债ETF,海富通基金,债券型,20181012,0.25,0.1,上证10年期地方政府债指数收益率,被动指数型,E
159960.SZ,H股ETF港股通,平安基金,股票型,20180921,0.5,0.1,恒生中国企业指数收益率(经汇率调整),被动指数型,E
501062.SH,南方瑞合LOF,南方基金,混合型,20180906,1.5,0.25,沪深300指数收益率*40%+上证国债指数收益率*40%+中证港股通综合指数(人民币)收益率*20%,混合型,E
510600.SH,申万上证50ETF,申万菱信基金,股票型,20180903,0.5,0.1,上证50指数,被动指数型,E
501061.SH,金选300C类LOF,中金基金,股票型,20180830,0.5,0.15,中证中金优选300指数收益率*95%+银行活期存款利率(税后)*5%,被动指数型,E
501060.SH,金选300A类LOF,中金基金,股票型,20180830,0.5,0.15,中证中金优选300指数收益率*95%+银行活期存款利率(税后)*5%,被动指数型,E
160726.SZ,嘉实瑞享定开,嘉实基金,混合型,20180803,2.0,0.25,沪深300指数收益率*50%+恒生指数收益率*40%(人民币计价)+中债综合财富指数收益率*10%,灵活配置型,E
512770.SH,战略新兴ETF,华夏基金,股票型,20180713,0.5,0.1,中国战略新兴产业成份指数(简称:新兴成指)指数收益率,被动指数型,E
501059.SH,国企红利LOF,西部利得基金,股票型,20180711,1.0,0.25,中证国有企业红利指数收益率*90%+商业银行活期存款利率(税后)*10%,增强指数型,E
501189.SH,嘉实产业优选LOF,嘉实基金,混合型,20180705,1.5,0.25,沪深300指数收益率*45%+恒生指数收益率(人民币计价)*45%+中债综合财富指数收益率*10%,灵活配置型,E
161131.SZ,易方达科润LOF,易方达基金,混合型,20180705,1.5,0.25,沪深300指数收益率*45%+中证港股通综合指数收益率*35%+中债总指数收益率*20%,混合型,E
161728.SZ,招商优选LOF,招商基金,混合型,20180705,1.5,0.25,沪深300指数收益率*60%+恒生综合指数收益率(经汇率调整后)*20%+中债综合(全价)指数收益率*20%,灵活配置型,E
501188.SH,添富核心精选LOF,汇添富基金,混合型,20180705,1.5,0.25,沪深300指数收益率*50%+中债综合指数收益率*30%+恒生指数收益率(使用估值汇率折算)*20%,灵活配置型,E
160142.SZ,南方优势产业LOF,南方基金,混合型,20180705,1.5,0.25,沪深300指数收益率*50%+上证国债指数收益率*30%+中证港股通综合指数(人民币)收益率*20%,灵活配置型,E
501186.SH,华夏兴融LOF,华夏基金,混合型,20180705,1.5,0.2,沪深300指数收益率*70%+上证国债指数收益率*30%,灵活配置型,E
164824.SZ,印度基金LOF,工银瑞信基金,股票型,20180615,1.6,0.2,中信证券印度ETP指数收益率*90%+人民币活期存款收益率(税后)*10%,股票型,E
512360.SH,平安MSCI国际ETF,平安基金,股票型,20180615,0.5,0.1,MSCI中国A股国际指数(MSCI China A International Index)收益率,被动指数型,E
512390.SH,平安MSCI低波ETF,平安基金,股票型,20180607,0.5,0.1,MSCI中国A股低波动指数(MSCI China A International Minimum Volatility Index)收益率,被动指数型,E
161039.SZ,1000增强LOF,富国基金,股票型,20180531,1.0,0.15,中证1000指数收益率*95%+银行人民币活期存款利率(税后)*5%,增强指数型,E
501058.SH,新能源车LOFC,汇添富基金,股票型,20180523,1.0,0.1,中证新能源汽车产业指数收益率*95%+银行人民币活期存款利率(税后)*5%,被动指数型,E
501057.SH,新能源车LOF,汇添富基金,股票型,20180523,1.0,0.1,中证新能源汽车产业指数收益率*95%+银行人民币活期存款利率(税后)*5%,被动指数型,E
512090.SH,MSCIA股ETF易方达,易方达基金,股票型,20180517,0.15,0.05,MSCI中国A股国际通指数(MSCI China A Inclusion RMB Index)收益率,被动指数型,E
513900.SH,港股通100ETF,华安基金,股票型,20180427,0.6,0.1,中华交易服务港股通精选100指数收益率(经汇率调整),被动指数型,E
512280.SH,景顺MSCIA股ETF,景顺长城基金,股票型,20180427,0.5,0.1,MSCI中国A股国际通指数收益率,被动指数型,E
512520.SH,MSCIETF,华泰柏瑞基金,股票型,20180426,0.15,0.05,MSCI中国A股国际通指数收益率,被动指数型,E
512780.SH,京津冀ETF,广发基金,股票型,20180419,0.5,0.1,中证京津冀协同发展主题指数收益率,被动指数型,E
512180.SH,MSCIA股ETF基金,建信基金,股票型,20180419,0.5,0.1,MSCI中国A股国际通指数收益率,被动指数型,E
501307.SH,银河高股息LOF,银河基金,股票型,20180410,0.5,0.18,中证沪港深高股息指数收益率*95%+银行活期存款利率(税后)*5%,被动指数型,E
512160.SH,MSCI中国A股ETF,南方基金,股票型,20180403,0.5,0.1,MSCI中国A股国际通指数收益率,被动指数型,E
162416.SZ,香港本地LOF,华宝基金,股票型,20180330,0.75,0.15,经人民币汇率调整的恒生香港35指数收益率*95%+人民币银行活期存款利率(税后)*5%,被动指数型,E
510590.SH,平安中证500ETF,平安基金,股票型,20180323,0.5,0.1,中证500指数收益率,被动指数型,E
169106.SZ,东方红创优定开,东证资管,混合型,20180322,0.7,0.2,中债综合指数收益率*80%+沪深300指数收益率*20%,混合型,E
511310.SH,10年国债ETF,富国基金,债券型,20180319,0.25,0.05,中证10年期国债指数收益率,被动指数型,E
159954.SZ,H股ETF,南方基金,股票型,20180208,0.5,0.1,恒生中国企业指数收益率(估值汇率调整),被动指数型,E
159956.SZ,创业板ETF建信,建信基金,股票型,20180206,0.5,0.1,创业板指数收益率,被动指数型,E
501054.SH,东方红睿泽,东证资管,混合型,20180131,1.5,0.25,沪深300指数收益率*60%+恒生指数收益率*20%+中国债券总指数收益率*20%,灵活配置型,E
163417.SZ,兴全合宜LOF,兴证全球基金,混合型,20180123,1.5,0.25,沪深300指数收益率*60%+恒生指数收益率*20%+中国债券总指数收益率*20%,灵活配置型,E
510380.SH,国寿300ETF,国寿安保基金,股票型,20180119,0.5,0.1,沪深300指数,被动指数型,E
512980.SH,传媒ETF,广发基金,股票型,20171227,0.5,0.1,中证传媒指数收益率,被动指数型,E
510390.SH,平安沪深300ETF,平安基金,股票型,20171225,0.5,0.1,沪深300指数收益率,被动指数型,E
159958.SZ,创业板ETF工银,工银瑞信基金,股票型,20171225,0.5,0.1,创业板指数收益率,被动指数型,E
510800.SH,50ETF基金,建信基金,股票型,20171222,0.5,0.1,上证50指数收益率,被动指数型,E
501053.SH,东方红目标优选,东证资管,混合型,20171218,0.7,0.2,中债综合指数收益率*80%+沪深300指数收益率*20%,混合型,E
161014.SZ,富国汇利定开,富国基金,债券型,20171211,0.5,0.15,中债综合指数收益率,债券型,E
